# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
3.180000000000e+03,5.038363150957e+03
3.240000000000e+03,5.131288790892e+03
3.300000000000e+03,5.222777630794e+03
3.360000000000e+03,5.312747107383e+03
3.420000000000e+03,5.401123249248e+03
3.480000000000e+03,5.487840617698e+03
3.540000000000e+03,5.572842173922e+03
3.600000000000e+03,5.656079081332e+03
3.660000000000e+03,5.737510451923e+03
3.720000000000e+03,5.817103045370e+03
3.780000000000e+03,5.894830929275e+03
3.840000000000e+03,5.970675108560e+03
3.900000000000e+03,6.044623131501e+03
3.960000000000e+03,6.116668679302e+03
4.020000000000e+03,6.186811145533e+03
4.080000000000e+03,6.255055211059e+03
4.140000000000e+03,6.321410419427e+03
4.200000000000e+03,6.385890757100e+03
4.260000000000e+03,6.448514242207e+03
4.320000000000e+03,6.509302524908e+03
4.380000000000e+03,6.568280501966e+03
4.440000000000e+03,6.625475947485e+03
4.500000000000e+03,6.680919161426e+03
4.560000000000e+03,6.734642636964e+03
4.620000000000e+03,6.786680747466e+03
4.680000000000e+03,6.837069453476e+03
4.740000000000e+03,6.885846029845e+03
4.800000000000e+03,6.933048812868e+03
4.860000000000e+03,6.978716967102e+03
4.920000000000e+03,7.022890271375e+03
4.980000000000e+03,7.065608923345e+03
5.040000000000e+03,7.106913361878e+03
5.100000000000e+03,7.146844106424e+03
5.160000000000e+03,7.185441612529e+03
5.220000000000e+03,7.222746142537e+03
5.280000000000e+03,7.258797650621e+03
5.340000000000e+03,7.293635681134e+03
5.400000000000e+03,7.327299279406e+03
5.460000000000e+03,7.359826914068e+03
5.520000000000e+03,7.391256409995e+03
5.580000000000e+03,7.421624891041e+03
5.640000000000e+03,7.450968731729e+03
5.700000000000e+03,7.479323517137e+03
5.760000000000e+03,7.506724010213e+03
5.820000000000e+03,7.533204125843e+03
5.880000000000e+03,7.558796911017e+03
5.940000000000e+03,7.583534530462e+03
6.000000000000e+03,7.607448257202e+03
6.060000000000e+03,7.630568467490e+03
6.120000000000e+03,7.652924639649e+03
6.180000000000e+03,7.674545356347e+03
6.240000000000e+03,7.695458309900e+03
6.300000000000e+03,7.715690310240e+03
6.360000000000e+03,7.735267295191e+03
6.420000000000e+03,7.754214342720e+03
6.480000000000e+03,7.772555684899e+03
6.540000000000e+03,7.790314723327e+03
6.600000000000e+03,7.807514045739e+03
6.660000000000e+03,7.824175443623e+03
6.720000000000e+03,7.840319930660e+03
6.780000000000e+03,7.855967761764e+03
6.840000000000e+03,7.871138452654e+03
6.900000000000e+03,7.885850799738e+03
6.960000000000e+03,7.900122900254e+03
7.020000000000e+03,7.913972172508e+03
7.080000000000e+03,7.927415376174e+03
7.140000000000e+03,7.940468632508e+03
7.200000000000e+03,7.953147444458e+03
7.260000000000e+03,7.965466716593e+03
7.320000000000e+03,7.977440774768e+03
7.380000000000e+03,7.989083385527e+03
7.440000000000e+03,8.000407775159e+03
7.500000000000e+03,8.011426648418e+03
7.560000000000e+03,8.022152206848e+03
7.620000000000e+03,8.032596166692e+03
7.680000000000e+03,8.042769776388e+03
7.740000000000e+03,8.052683833624e+03
7.800000000000e+03,8.062348701938e+03
7.860000000000e+03,8.071774326868e+03
7.920000000000e+03,8.080970251630e+03
7.980000000000e+03,8.089945632359e+03
8.040000000000e+03,8.098709252848e+03
8.100000000000e+03,8.107269538866e+03
8.160000000000e+03,8.115634571984e+03
8.220000000000e+03,8.123812102977e+03
8.280000000000e+03,8.131809564757e+03
8.340000000000e+03,8.139634084887e+03
8.400000000000e+03,8.147292497641e+03
8.460000000000e+03,8.154791355657e+03
8.520000000000e+03,8.162136941169e+03
8.580000000000e+03,8.169335276842e+03
8.640000000000e+03,8.176392136203e+03
8.700000000000e+03,8.183313053693e+03
8.760000000000e+03,8.190103334345e+03
8.820000000000e+03,8.196768063092e+03
8.880000000000e+03,8.203312113738e+03
8.940000000000e+03,8.209740157572e+03
9.000000000000e+03,8.216056671655e+03
9.060000000000e+03,8.222265946791e+03
9.120000000000e+03,8.228372095182e+03
9.180000000000e+03,8.234379057782e+03
9.240000000000e+03,8.240290611368e+03
9.300000000000e+03,8.246110375331e+03
9.360000000000e+03,8.251841818180e+03
9.420000000000e+03,8.257488263815e+03
9.480000000000e+03,8.263052897519e+03
