# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
5.400000000000e+03,1.886205555210e+03
5.460000000000e+03,1.942677493705e+03
5.520000000000e+03,1.999995475332e+03
5.580000000000e+03,2.058146536571e+03
5.640000000000e+03,2.117112315784e+03
5.700000000000e+03,2.176869302243e+03
5.760000000000e+03,2.237389114401e+03
5.820000000000e+03,2.298638803488e+03
5.880000000000e+03,2.360581177421e+03
5.940000000000e+03,2.423175147917e+03
6.000000000000e+03,2.486376084865e+03
6.060000000000e+03,2.550136186878e+03
6.120000000000e+03,2.614404858656e+03
6.180000000000e+03,2.679129093088e+03
6.240000000000e+03,2.744253854924e+03
6.300000000000e+03,2.809722462866e+03
6.360000000000e+03,2.875476967078e+03
6.420000000000e+03,2.941458519196e+03
6.480000000000e+03,3.007607732108e+03
6.540000000000e+03,3.073865026951e+03
6.600000000000e+03,3.140170964988e+03
6.660000000000e+03,3.206466562276e+03
6.720000000000e+03,3.272693585306e+03
6.780000000000e+03,3.338794826072e+03
6.840000000000e+03,3.404714355350e+03
6.900000000000e+03,3.470397753208e+03
6.960000000000e+03,3.535792316162e+03
7.020000000000e+03,3.600847240600e+03
7.080000000000e+03,3.665513782427e+03
7.140000000000e+03,3.729745393143e+03
7.200000000000e+03,3.793497832816e+03
7.260000000000e+03,3.856729260608e+03
7.320000000000e+03,3.919400303745e+03
7.380000000000e+03,3.981474105973e+03
7.440000000000e+03,4.042916356678e+03
7.500000000000e+03,4.103695301952e+03
7.560000000000e+03,4.163781739013e+03
7.620000000000e+03,4.223148995383e+03
7.680000000000e+03,4.281772894302e+03
7.740000000000e+03,4.339631707865e+03
7.800000000000e+03,4.396706099313e+03
7.860000000000e+03,4.452979055952e+03
7.920000000000e+03,4.508435814051e+03
7.980000000000e+03,4.563063777071e+03
8.040000000000e+03,4.616852428465e+03
8.100000000000e+03,4.669793240251e+03
8.160000000000e+03,4.721879578439e+03
8.220000000000e+03,4.773106606321e+03
8.280000000000e+03,4.823471186553e+03
8.340000000000e+03,4.872971782852e+03
8.400000000000e+03,4.921608362050e+03
8.460000000000e+03,4.969382297145e+03
8.520000000000e+03,5.016296271940e+03
8.580000000000e+03,5.062354187741e+03
8.640000000000e+03,5.107561072525e+03
8.700000000000e+03,5.151922992928e+03
8.760000000000e+03,5.195446969329e+03
8.820000000000e+03,5.238140894230e+03
8.880000000000e+03,5.280013454125e+03
8.940000000000e+03,5.321074054940e+03
9.000000000000e+03,5.361332751117e+03
9.060000000000e+03,5.400800178404e+03
